"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"0500000US13189","McDuffie County, Georgia","21632","20759","11580","8682","50","77","20","350","873","770","233","174","50","3","234","9","7","4","36","4","0","8","3","1","4","79","27","8","4","11","6","2","9","1","8","0","1","0","0","0","2","0","0","0","0","0","22","4","0","10","0","0","5","0","2","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US13191","McIntosh County, Georgia","10975","10488","7145","3192","38","43","0","70","487","462","147","138","32","5","85","15","1","0","28","8","0","0","0","3","0","18","3","0","4","1","0","0","8","0","0","0","0","0","0","0","2","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13193","Macon County, Georgia","12082","11835","4153","7164","32","156","8","322","247","224","99","28","1","2","67","16","5","0","0","0","0","0","0","6","0","20","0","0","0","4","5","0","5","0","0","0","1","0","0","0","5","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0500000US13195","Madison County, Georgia","30120","28381","23977","2769","82","529","7","1017","1739","1663","341","543","92","0","641","22","0","2","17","1","4","0","0","0","0","60","22","3","0","5","7","0","18","4","0","1","0","0","0","0","0","0","0","0","0","0","12","3","2","0","0","7","0","0","0","0","0","0","0","0","0","0","4","0","3","0","0","1","0","0","0"
"0500000US13197","Marion County, Georgia","7498","7143","4551","2150","24","55","16","347","355","319","51","122","16","10","102","4","0","0","7","0","0","0","5","0","2","24","0","4","0","0","0","0","15","0","3","0","0","0","1","0","0","0","0","0","0","1","12","0","0","2","0","1","0","6","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13199","Meriwether County, Georgia","20613","19880","12233","7286","64","78","6","213","733","701","219","242","34","7","164","11","0","3","9","0","0","4","0","0","8","31","12","1","0","0","3","0","6","2","0","2","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0500000US13201","Miller County, Georgia","6000","5836","3986","1751","10","31","3","55","164","146","55","40","8","3","25","4","3","1","5","0","0","2","0","0","0","15","4","0","0","5","0","0","4","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
"0500000US13205","Mitchell County, Georgia","21755","21159","10273","10114","45","108","0","619","596","564","192","106","29","10","149","22","3","4","34","5","0","10","0","0","0","23","7","4","1","1","0","0","5","0","1","0","0","3","0","0","0","1","0","0","0","0","7","0","0","3","0","3","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US13207","Monroe County, Georgia","27957","26833","20122","6113","43","244","4","307","1124","1055","217","376","85","4","304","31","7","6","18","0","0","4","1","2","0","62","35","0","3","5","0","0","13","0","0","2","1","0","2","0","0","1","0","0","0","0","7","0","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13209","Montgomery County, Georgia","8610","8312","5789","2133","25","39","2","324","298","278","65","79","13","2","102","3","0","0","6","0","0","2","2","0","4","12","10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","2","2","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
