County,Polling Place,First Check-In,Last Check-In, First Check-In,Last Check In,Active Registered Voters,Total Election Day Check-Ins,Total EV,Voters/Hour
BIBB,LIZELLA BAPTIST CHURCH-CH HALL,07:46:00,19:01:00,1899-12-30 07:46:00,1899-12-30 19:01:00,2556,970,630,86.22
BIBB,LUTHERAN CHURCH OF THE REDEEMER,07:04:00,19:12:00,1899-12-30 07:04:00,1899-12-30 19:12:00,2976,952,760,78.46
BIBB,MACON EVANGELISTIC CHURCH,07:05:00,19:02:00,1899-12-30 07:05:00,1899-12-30 19:02:00,3116,637,834,53.31
BIBB,MACON WIMBISH ROAD SEVENTH-DAY ADVENTIST CHURCH,07:10:00,18:54:00,1899-12-30 07:10:00,1899-12-30 18:54:00,1713,636,423,54.2
BIBB,MIDDLE GEORGIA STATE UNIVERSITY - GYM LOBBY,07:04:00,19:05:00,1899-12-30 07:04:00,1899-12-30 19:05:00,7128,988,1677,82.22
BIBB,MIKADO BAPT CH-FELLOWSHIP HALL,07:06:00,19:18:00,1899-12-30 07:06:00,1899-12-30 19:18:00,5558,301,1493,24.67
BIBB,NEW GRISWOLDVILLE BAPT CHURCH,07:11:00,19:17:00,1899-12-30 07:11:00,1899-12-30 19:17:00,2244,387,539,31.98
BIBB,NEW HEIGHTS CHURCH,07:10:00,19:35:00,1899-12-30 07:10:00,1899-12-30 19:35:00,4541,392,1257,31.57
BIBB,NORTHEAST MAGNET HIGH SCHOOL,07:11:00,19:12:00,1899-12-30 07:11:00,1899-12-30 19:12:00,3485,602,783,50.1
BIBB,NORTHMINISTER PRESBYTERIAN CHURCH,07:06:00,19:07:00,1899-12-30 07:06:00,1899-12-30 19:07:00,2329,1135,557,94.45
BIBB,NORTHSIDE CHRISTIAN CHURCH,07:14:00,18:59:00,1899-12-30 07:14:00,1899-12-30 18:59:00,2812,770,861,65.53
BIBB,NORTHWAY CHURCH,07:12:00,18:56:00,1899-12-30 07:12:00,1899-12-30 18:56:00,3415,464,1145,39.55
BIBB,PORTERFIELD BAPT. CH. -CH HALL,07:09:00,19:01:00,1899-12-30 07:09:00,1899-12-30 19:01:00,3325,303,679,25.53
BIBB,PROFESSIONAL LEARNING CENTER,07:08:00,18:58:00,1899-12-30 07:08:00,1899-12-30 18:58:00,3570,364,743,30.76
BIBB,RIVER EDGE BEHAV/HEALTH DEPT.,07:02:00,18:56:00,1899-12-30 07:02:00,1899-12-30 18:56:00,2172,561,323,47.14
BIBB,ST FRANCIS EPISCOPAL CHURCH,07:03:00,19:14:00,1899-12-30 07:03:00,1899-12-30 19:14:00,2164,498,565,40.88
BIBB,ST MATTHEW BAPTIST CHURCH,07:04:00,19:04:00,1899-12-30 07:04:00,1899-12-30 19:04:00,3950,489,892,40.75
BIBB,SWIFT CREEK BAPTIST CHURCH,07:19:00,18:59:00,1899-12-30 07:19:00,1899-12-30 18:59:00,2484,596,632,51.09
BIBB,TURNING POINT AT MABEL WHITE BAPTIST CHURCH,07:03:00,19:20:00,1899-12-30 07:03:00,1899-12-30 19:20:00,6312,659,1448,53.65
BLECKLEY,JC FAIRGROUNDS,07:02:00,19:00:00,1899-12-30 07:02:00,1899-12-30 19:00:00,7528,900,1506,75.21
BRANTLEY,HOBOKEN COMMUNITY CENTER,07:03:00,19:00:00,1899-12-30 07:03:00,1899-12-30 19:00:00,3107,602,691,50.38
BRANTLEY,SENIOR CITIZENS CENTER,07:03:00,19:00:00,1899-12-30 07:03:00,1899-12-30 19:00:00,3852,595,1068,49.79
BRANTLEY,WAYNESVILLE BAPTIST CHURCH,07:03:00,19:02:00,1899-12-30 07:03:00,1899-12-30 19:02:00,3841,456,696,38.05
BROOKS,BARWICK COMMUNITY CENTER,10:30:00,18:54:00,1899-12-30 10:30:00,1899-12-30 18:54:00,334,368,68,43.81
BROOKS,DIXIE COMMUNITY CENTER,08:07:00,18:53:00,1899-12-30 08:07:00,1899-12-30 18:53:00,1031,41,232,3.81
BROOKS,EAST BROOKS FIRE DEPARTMENT,07:13:00,18:55:00,1899-12-30 07:13:00,1899-12-30 18:55:00,2230,136,306,11.62
BROOKS,MORVEN CITY HALL,07:10:00,18:52:00,1899-12-30 07:10:00,1899-12-30 18:52:00,1892,249,375,21.28
BROOKS,QUITMAN AGRICULTURAL ANNEX,07:12:00,19:19:00,1899-12-30 07:12:00,1899-12-30 19:19:00,4011,68,702,5.61
BROOKS,SOUTH BROOKS FIRE DEPARTMENT,07:16:00,18:55:00,1899-12-30 07:16:00,1899-12-30 18:55:00,703,107,124,9.18
BROOKS,STATION 1300 (PAVO) FIRE DEPARTMENT,07:07:00,18:44:00,1899-12-30 07:07:00,1899-12-30 18:44:00,563,200,73,17.22
BRYAN,BLACK CREEK ADMIN,07:13:00,18:59:00,1899-12-30 07:13:00,1899-12-30 18:59:00,2816,373,545,31.7
BRYAN,BRYAN CO ADMINISTRATION BLDG,07:04:00,19:03:00,1899-12-30 07:04:00,1899-12-30 19:03:00,4740,531,968,44.31
BRYAN,DANIELSIDING BAPTIST CHURCH,07:02:00,19:02:00,1899-12-30 07:02:00,1899-12-30 19:02:00,2205,272,480,22.67
BRYAN,FIRST BAPTIST CHURCH,07:05:00,18:56:00,1899-12-30 07:05:00,1899-12-30 18:56:00,1814,195,290,16.46
BRYAN,HARN COMMUNITY CENTER,07:06:00,19:00:00,1899-12-30 07:06:00,1899-12-30 19:00:00,2559,324,630,27.23
BRYAN,HENDRIX PARK GYM,07:11:00,18:54:00,1899-12-30 07:11:00,1899-12-30 18:54:00,2238,357,434,30.47
BRYAN,JOHN W. STEVENS WETLAND EDU.CT,07:02:00,18:53:00,1899-12-30 07:02:00,1899-12-30 18:53:00,2841,351,767,29.62
BRYAN,NEW LIFE CHURCH,07:11:00,19:41:00,1899-12-30 07:11:00,1899-12-30 19:41:00,3998,515,926,41.2
BRYAN,PUBLIC SAFETY COMPX,07:08:00,19:07:00,1899-12-30 07:08:00,1899-12-30 19:07:00,2391,212,367,17.69
BRYAN,RICHMOND HILL RECREATION COMPX,07:02:00,18:57:00,1899-12-30 07:02:00,1899-12-30 18:57:00,3137,284,461,23.83
BULLOCH,BLDG @ CLITO/HWY 24 INTERSECTION,07:05:00,18:52:00,1899-12-30 07:05:00,1899-12-30 18:52:00,2309,458,527,38.87
BULLOCH,BLDG BESIDE BAY FIRE DEPARTMENT,07:02:00,19:01:00,1899-12-30 07:02:00,1899-12-30 19:01:00,1535,174,274,14.52
BULLOCH,BLDG BESIDE NEVILS FIRE DEPT,07:04:00,19:01:00,1899-12-30 07:04:00,1899-12-30 19:01:00,1238,364,233,30.46
BULLOCH,BROOKLET REC DEPT,07:05:00,18:49:00,1899-12-30 07:05:00,1899-12-30 18:49:00,3207,714,672,60.85
BULLOCH,EMIT PRECINCT BUILDING,07:04:00,18:57:00,1899-12-30 07:04:00,1899-12-30 18:57:00,3116,660,681,55.54
BULLOCH,KIWANIS FAIRGROUNDS,07:02:00,19:02:00,1899-12-30 07:02:00,1899-12-30 19:02:00,6182,630,1555,52.5
BULLOCH,LEEFIELD FIRE DEPARTMENT,07:04:00,18:56:00,1899-12-30 07:04:00,1899-12-30 18:56:00,954,200,155,16.85
BULLOCH,LOCKHART PRECINCT BLDG,07:38:00,18:50:00,1899-12-30 07:38:00,1899-12-30 18:50:00,703,363,148,32.41
BULLOCH,MIDDLEGROUND COMMUNITY BLDG,07:14:00,18:56:00,1899-12-30 07:14:00,1899-12-30 18:56:00,1890,406,604,34.7
BULLOCH,PITTMAN PARK UNITED METHODIST CHURCH,07:04:00,18:53:00,1899-12-30 07:04:00,1899-12-30 18:53:00,5757,552,581,46.71
BULLOCH,PORTAL CITY HALL,07:19:00,18:57:00,1899-12-30 07:19:00,1899-12-30 18:57:00,1728,314,351,26.99
BULLOCH,REGISTER PRECINCT BLDG,07:10:00,18:54:00,1899-12-30 07:10:00,1899-12-30 18:54:00,950,288,168,24.55
BULLOCH,STATESBORO PRIMITIVE BAPTIST CHURCH,07:03:00,18:59:00,1899-12-30 07:03:00,1899-12-30 18:59:00,5668,354,1342,29.66
BULLOCH,STILSON COMMUNITY BLDG,07:05:00,18:58:00,1899-12-30 07:05:00,1899-12-30 18:58:00,2049,152,371,12.79
BULLOCH,UNION BAPTIST CHURCH SOCIAL HALL,07:22:00,19:00:00,1899-12-30 07:22:00,1899-12-30 19:00:00,495,200,93,17.19
BULLOCH,WILLIAM JAMES EDUCATIONAL COMPLEX,07:02:00,18:47:00,1899-12-30 07:02:00,1899-12-30 18:47:00,6293,109,1346,9.28
BURKE,BURKE COUNTY OFFICE PARK,07:02:00,18:31:00,1899-12-30 07:02:00,1899-12-30 18:31:00,661,55,142,4.79
BURKE,BURKE COUNTY RECREATION DEPT. GYM,07:03:00,18:57:00,1899-12-30 07:03:00,1899-12-30 18:57:00,3146,267,974,22.44
BURKE,BURKE COUNTY SENIOR CITIZEN BUILDING,07:24:00,18:42:00,1899-12-30 07:24:00,1899-12-30 18:42:00,2864,424,721,37.52
BURKE,FIRE STATION #10,07:41:00,18:45:00,1899-12-30 07:41:00,1899-12-30 18:45:00,380,75,102,6.78
BURKE,FIRE STATION #11,07:18:00,18:57:00,1899-12-30 07:18:00,1899-12-30 18:57:00,1068,80,257,6.87
BURKE,FIRE STATION #2,08:26:00,18:53:00,1899-12-30 08:26:00,1899-12-30 18:53:00,1002,48,227,4.59
BURKE,FIRE STATION #6,07:46:00,18:41:00,1899-12-30 07:46:00,1899-12-30 18:41:00,433,162,139,14.84
BURKE,FIRE STATION #8,07:16:00,18:54:00,1899-12-30 07:16:00,1899-12-30 18:54:00,281,32,56,2.75
BURKE,FIRE STATION #9,07:29:00,18:52:00,1899-12-30 07:29:00,1899-12-30 18:52:00,290,127,57,11.16
BURKE,FOREST HILL BAPTIST CHURCH,09:09:00,18:53:00,1899-12-30 09:09:00,1899-12-30 18:53:00,439,46,145,4.73
BURKE,GIRARD CITY HALL,07:54:00,18:41:00,1899-12-30 07:54:00,1899-12-30 18:41:00,713,57,177,5.29
BURKE,HOPEFUL BAPTIST CHURCH,09:09:00,19:12:00,1899-12-30 09:09:00,1899-12-30 19:12:00,2439,50,441,4.98
BURKE,MIDVILLE COMMUNITY HOUSE,07:41:00,18:50:00,1899-12-30 07:41:00,1899-12-30 18:50:00,467,133,102,11.93
BURKE,SARDIS CITY COUNCIL ROOM,07:01:00,19:16:00,1899-12-30 07:01:00,1899-12-30 19:16:00,996,105,180,8.57
BURKE,VIDETTE CITY HALL,07:05:00,18:56:00,1899-12-30 07:05:00,1899-12-30 18:56:00,310,76,84,6.41
BURKE,WALKER BUILDING-HUMAN RESOURCE,07:18:00,18:58:00,1899-12-30 07:18:00,1899-12-30 18:58:00,459,279,66,23.91
BUTTS,BUTTS CO. ADMIN BUILDING,07:02:00,19:01:00,1899-12-30 07:02:00,1899-12-30 19:01:00,16722,1380,4239,115.16
CALHOUN,CALHOUN CO BD OF COMMISSIONERS,07:18:00,18:50:00,1899-12-30 07:18:00,1899-12-30 18:50:00,639,155,229,13.44
CALHOUN,JIMMY C HARPE COMMUNITY CENTER,07:35:00,18:45:00,1899-12-30 07:35:00,1899-12-30 18:45:00,660,107,226,9.58
CALHOUN,LEARY CITY HALL,08:02:00,18:57:00,1899-12-30 08:02:00,1899-12-30 18:57:00,700,99,223,9.07
CALHOUN,OLD CITY HALL-NORTH ENTRANCE,11:55:00,19:03:00,1899-12-30 11:55:00,1899-12-30 19:03:00,581,109,169,15.28
CALHOUN,OLD CITY HALL-SOUTH ENTRANCE,07:27:00,18:55:00,1899-12-30 07:27:00,1899-12-30 18:55:00,500,95,111,8.28
CAMDEN,AGAPE CHRISTIAN CENTER,07:04:00,19:14:00,1899-12-30 07:04:00,1899-12-30 19:14:00,5468,557,800,45.78
CAMDEN,CHAMBER OF COMMERCE,07:08:00,18:59:00,1899-12-30 07:08:00,1899-12-30 18:59:00,2519,242,391,20.42
CAMDEN,DEPT. OF DRIVER SERVICES,07:08:00,18:55:00,1899-12-30 07:08:00,1899-12-30 18:55:00,2230,194,243,16.46
CAMDEN,FBC HARRIETTS BLUFF,07:26:00,18:56:00,1899-12-30 07:26:00,1899-12-30 18:56:00,1740,192,318,16.7
CAMDEN,HARBOR WORSHIP CENTER,07:17:00,18:51:00,1899-12-30 07:17:00,1899-12-30 18:51:00,3225,290,443,25.07
CAMDEN,KINGDOM CITY CHURCH,07:11:00,19:03:00,1899-12-30 07:11:00,1899-12-30 19:03:00,1920,135,166,11.38
CAMDEN,PSA BUILDING,07:02:00,19:03:00,1899-12-30 07:02:00,1899-12-30 19:03:00,6530,531,1003,44.19
CAMDEN,SAINT MARYS MIDDLE SCHOOL,07:03:00,18:46:00,1899-12-30 07:03:00,1899-12-30 18:46:00,2899,363,808,30.98
CAMDEN,ST. MARY'S WELCOME CENTER,07:06:00,18:49:00,1899-12-30 07:06:00,1899-12-30 18:49:00,1951,117,421,9.99
CAMDEN,TARBORO FIRE STATION,07:02:00,19:03:00,1899-12-30 07:02:00,1899-12-30 19:03:00,968,156,178,12.98
CAMDEN,WAVERLY FIRE STATION,07:13:00,18:49:00,1899-12-30 07:13:00,1899-12-30 18:49:00,1428,194,343,16.72
CAMDEN,WOODBINE CITY HALL,07:03:00,18:54:00,1899-12-30 07:03:00,1899-12-30 18:54:00,1947,330,339,27.85
CANDLER,JACK STRICKLAND COMMUNITY CENTER,07:03:00,19:00:00,1899-12-30 07:03:00,1899-12-30 19:00:00,5894,787,1575,65.86
CARROLL,BETHANY CHURCH FAMILY LIFE CTR,07:09:00,19:02:00,1899-12-30 07:09:00,1899-12-30 19:02:00,4617,409,770,34.42
CARROLL,BONNER RECREATION CENTER,07:17:00,19:00:00,1899-12-30 07:17:00,1899-12-30 19:00:00,3619,409,855,34.91
CARROLL,BOWDON SENIOR CTR,07:02:00,19:02:00,1899-12-30 07:02:00,1899-12-30 19:02:00,3155,505,560,42.08
CARROLL,CENTER POINT METHODIST CHURCH,07:02:00,18:55:00,1899-12-30 07:02:00,1899-12-30 18:55:00,1708,277,405,23.31
CARROLL,CLEM COMMUNITY CENTER,07:04:00,18:57:00,1899-12-30 07:04:00,1899-12-30 18:57:00,3556,493,858,41.49
CARROLL,COUNTY ADMINISTRATION BLDG,07:03:00,18:43:00,1899-12-30 07:03:00,1899-12-30 18:43:00,2503,231,640,19.8
CARROLL,EMC,07:10:00,18:51:00,1899-12-30 07:10:00,1899-12-30 18:51:00,1415,168,318,14.38
CARROLL,FAIRFIELD RECREATION CENTER,07:03:00,18:59:00,1899-12-30 07:03:00,1899-12-30 18:59:00,3706,557,882,46.68
CARROLL,GOLD DUST PARK RECREATION CTR.,07:05:00,19:02:00,1899-12-30 07:05:00,1899-12-30 19:02:00,5220,479,868,40.08
CARROLL,KANSAS BAPTIST CHURCH,07:03:00,18:51:00,1899-12-30 07:03:00,1899-12-30 18:51:00,1096,246,196,20.85
CARROLL,LAKESHORE RECREATION CENTER,07:03:00,18:49:00,1899-12-30 07:03:00,1899-12-30 18:49:00,1584,154,376,13.09
CARROLL,MARS HILL BAPTIST CHURCH,07:05:00,19:06:00,1899-12-30 07:05:00,1899-12-30 19:06:00,2310,383,415,31.87
CARROLL,MIDWAY MACEDONIA BAPTIST CH.,07:02:00,19:01:00,1899-12-30 07:02:00,1899-12-30 19:01:00,4297,448,855,37.39
CARROLL,MOUNT HOLLY CHURCH,07:07:00,19:03:00,1899-12-30 07:07:00,1899-12-30 19:03:00,1483,168,280,14.08
CARROLL,MT ZION RECREATION CENTER,07:06:00,18:57:00,1899-12-30 07:06:00,1899-12-30 18:57:00,2466,340,415,28.69
CARROLL,OAK GROVE BAPTIST CHURCH,07:55:00,18:58:00,1899-12-30 07:55:00,1899-12-30 18:58:00,1591,253,357,22.9
CARROLL,OLD CAMP METHODIST CHURCH,07:03:00,18:57:00,1899-12-30 07:03:00,1899-12-30 18:57:00,2224,353,562,29.66
CARROLL,POWELL PARK ART CENTER,07:02:00,19:28:00,1899-12-30 07:02:00,1899-12-30 19:28:00,6791,616,1146,49.54
CARROLL,ROOPVILLE ROAD BAPTIST CHURCH,07:03:00,18:52:00,1899-12-30 07:03:00,1899-12-30 18:52:00,3081,459,661,38.84
CARROLL,SHILOH METHODIST CHURCH,07:03:00,19:08:00,1899-12-30 07:03:00,1899-12-30 19:08:00,1498,250,321,20.69
