,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
59,"13, Barrow County, Georgia",7000000US13013000013,4384.0,478.0,3047.0,511.0,113.0,203.0,32.0,0.10903284671532847,0.6950273722627737,0.11656021897810219,0.025775547445255474,0.04630474452554745,0.0072992700729927005
60,"14, Barrow County, Georgia",7000000US13013000014,2258.0,299.0,1565.0,145.0,170.0,69.0,10.0,0.13241806908768822,0.6930912311780336,0.06421612046058459,0.07528786536758193,0.030558015943312665,0.0044286979627989375
61,"15, Barrow County, Georgia",7000000US13013000015,4927.0,485.0,3796.0,206.0,249.0,169.0,22.0,0.09843718286990055,0.7704485488126649,0.04181043231175157,0.05053785264867059,0.03430079155672823,0.004465191800284148
62,"16, Barrow County, Georgia",7000000US13013000016,9768.0,1397.0,5792.0,1780.0,342.0,376.0,81.0,0.14301801801801803,0.592956592956593,0.18222768222768224,0.03501228501228501,0.03849303849303849,0.008292383292383292
63,"ADAIRSVILLE, Bartow County, Georgia",7000000US13015000001,10368.0,565.0,8380.0,765.0,116.0,458.0,84.0,0.0544945987654321,0.8082561728395061,0.07378472222222222,0.011188271604938271,0.044174382716049385,0.008101851851851851
64,"ALLATOONA, Bartow County, Georgia",7000000US13015000002,6677.0,1120.0,4861.0,309.0,59.0,271.0,57.0,0.16774000299535718,0.7280215665718137,0.04627826868354051,0.00883630372921971,0.04058709001048375,0.008536768009585144
65,"CARTERSVILLE EAST, Bartow County, Georgia",7000000US13015000003,11581.0,1710.0,7007.0,2087.0,202.0,485.0,90.0,0.1476556428633106,0.6050427424229341,0.1802089629565668,0.01744236249028581,0.04187893964251792,0.007771349624384768
66,"CARTERSVILLE WEST, Bartow County, Georgia",7000000US13015000004,11544.0,1354.0,7536.0,2052.0,143.0,403.0,56.0,0.11729036729036729,0.6528066528066528,0.17775467775467776,0.012387387387387387,0.03490990990990991,0.004851004851004851
67,"CASSVILLE, Bartow County, Georgia",7000000US13015000005,16605.0,2090.0,11916.0,1535.0,228.0,725.0,111.0,0.12586570310147546,0.7176151761517615,0.09244203553146643,0.013730803974706414,0.043661547726588375,0.006684733514001806
68,"CENTER, Bartow County, Georgia",7000000US13015000006,5177.0,268.0,4240.0,334.0,64.0,227.0,44.0,0.051767432876183114,0.8190071469963299,0.06451612903225806,0.012362372030133281,0.043847788294378985,0.008499130770716632
69,"EMERSON, Bartow County, Georgia",7000000US13015000007,4453.0,408.0,3569.0,158.0,26.0,240.0,52.0,0.09162362452279363,0.8014821468672805,0.03548169773186616,0.005838760386256457,0.053896249719290364,0.011677520772512913
