,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others
221,"COUNTY ADMIN BLDG, Carroll County, Georgia",7000000US130450714A5,3777,493,2319,659,78,199,29
222,"TABERNACLE CHURCH, Carroll County, Georgia",7000000US130450714A6,2193,120,1482,445,49,90,7
223,"EMC, Carroll County, Georgia",7000000US130450714BN,2162,231,1320,474,6,108,23
224,"OLD CAMP CHURCH, Carroll County, Georgia",7000000US130450714BW,2926,131,2369,299,22,95,10
225,"BLACKSTOCK, Catoosa County, Georgia",7000000US1304700BLCK,3230,127,2902,31,13,141,16
226,"BOYNTON, Catoosa County, Georgia",7000000US1304700BOYN,8274,201,7401,130,199,324,19
227,"CATOOSA KEITH, Catoosa County, Georgia",7000000US1304700CAKT,3847,151,3435,32,29,183,17
228,"CHAMBERS, Catoosa County, Georgia",7000000US1304700CHAM,3452,75,3171,34,24,125,23
229,"FT OGLETHORPE, Catoosa County, Georgia",7000000US1304700FT-O,6518,211,5456,315,156,311,69
230,"GRAYSVILLE, Catoosa County, Georgia",7000000US1304700GRAY,6661,230,5843,146,98,310,34
231,"LAKEVIEW, Catoosa County, Georgia",7000000US1304700LAKE,5964,216,5016,231,112,333,56
232,"POPLAR SPRINGS, Catoosa County, Georgia",7000000US1304700POPS,5823,136,5310,103,40,215,19
233,"RINGGOLD, Catoosa County, Georgia",7000000US1304700RING,10685,375,9326,317,130,466,71
234,"WESTSIDE, Catoosa County, Georgia",7000000US1304700WEST,9197,523,7622,395,202,402,53
235,"WOODSTATION, Catoosa County, Georgia",7000000US1304700WOOD,4221,96,3798,74,22,210,21
236,"FOLKSTON, Charlton County, Georgia",7000000US13049000002,5936,1904,1688,2097,88,128,31
237,"GA BEND, Charlton County, Georgia",7000000US1304900003B,1121,33,1037,10,0,39,2
238,"ST. GEORGE, Charlton County, Georgia",7000000US1304900003S,1116,26,1010,31,0,44,5
239,"AMERICAN LEGION, Charlton County, Georgia",7000000US1304900004A,1046,17,956,27,1,36,9
240,"HOMELAND, Charlton County, Georgia",7000000US1304900004H,1312,25,1096,109,7,57,18
241,"FOLKSTON FIRE, Charlton County, Georgia",7000000US1304900005F,1154,12,1006,76,6,50,4
242,"RACEPOND, Charlton County, Georgia",7000000US1304900005R,373,7,333,11,4,17,1
243,"WINOKUR, Charlton County, Georgia",7000000US1304900005W,460,12,406,25,3,12,2
244,"FIRST PRESBYTERIAN CHURCH, Chatham County, Georgia",7000000US1305101-01C,3792,168,3254,116,72,153,29
245,"JEA BUILDING, Chatham County, Georgia",7000000US1305101-05C,2979,164,2246,326,93,141,9
246,"CENTRAL CHURCH OF CHRIST, Chatham County, Georgia",7000000US1305101-06C,2434,96,1998,169,57,92,22
247,"GRACE UNITED METHODIST CHURCH, Chatham County, Georgia",7000000US1305101-08C,2461,139,1576,459,125,138,24
248,"IMMANUEL BAPTIST CHURCH, Chatham County, Georgia",7000000US1305101-09C,1147,110,458,437,75,50,17
249,"ISLE OF HOPE SCHOOL, Chatham County, Georgia",7000000US1305101-10C,1293,34,1220,12,3,18,6
250,"ISLE OF HOPE BAPTIST, Chatham County, Georgia",7000000US1305101-12C,2314,84,2112,39,28,49,2
251,"THE SANCTUARY, Chatham County, Georgia",7000000US1305101-13C,1893,99,1270,348,73,77,26
252,"ST LUKE CHURCH, Chatham County, Georgia",7000000US1305101-14C,2236,153,1578,317,76,87,25
253,"FERGUSON AVE BAPTIST, Chatham County, Georgia",7000000US1305101-16C,4443,925,2930,329,50,163,46
254,"ISLANDS CHRISTIAN CH, Chatham County, Georgia",7000000US1305101-17C,3993,117,3407,118,163,166,22
255,"BLACKSHEAR COMMUNITY CENTER, Chatham County, Georgia",7000000US1305102-02C,2760,119,878,1559,96,78,30
256,"W W LAW CENTER, Chatham County, Georgia",7000000US1305102-03C,2219,121,1041,878,97,64,18
257,"FELLOWSHIP OF LOVE COMMUNITY CHURCH, Chatham County, Georgia",7000000US1305102-04C,3899,164,923,2547,74,153,38
258,"HOLY SPIRIT LUTHERAN CHURCH, Chatham County, Georgia",7000000US1305102-05C,2381,98,964,1149,48,89,33
259,"ELI WHITNEY COMPLEX (02-06C), Chatham County, Georgia",7000000US1305102-06C,1299,86,429,662,68,42,12
260,"CHRIST COMMUNITY CHURCH AT MORNINGSIDE, Chatham County, Georgia",7000000US1305102-07C,3822,209,992,2422,48,120,31
261,"SALVATION ARMY, Chatham County, Georgia",7000000US1305102-09C,4201,176,1221,2585,59,142,18
262,"S GARDENS CHRISTIAN, Chatham County, Georgia",7000000US1305102-11C,2505,91,580,1705,29,79,21
263,"WILLIAMS COURT APTS, Chatham County, Georgia",7000000US1305102-12C,2273,145,1284,614,109,89,32
264,"OLD COURTHOUSE, Chatham County, Georgia",7000000US1305103-01C,882,63,625,112,45,33,4
265,"ROSE OF SHARON, Chatham County, Georgia",7000000US1305103-02C,2279,114,1782,210,101,58,14
266,"SAVANNAH HIGH SCHOOL, Chatham County, Georgia",7000000US1305103-03C,1865,64,293,1452,2,44,10
267,"FIRST AFRICAN BAPTIST CHURCH, Chatham County, Georgia",7000000US1305103-04C,1996,67,270,1580,18,55,6
268,"ALDERSGATE YOUTH CENTER, Chatham County, Georgia",7000000US1305103-05C,2804,119,1164,1294,70,112,45
269,"JENKINS HIGH SCHOOL, Chatham County, Georgia",7000000US1305103-08C,1528,73,685,672,28,55,15
270,"COKESBURY METHODIST CHURCH, Chatham County, Georgia",7000000US1305103-09C,847,15,686,103,10,26,7
271,"BIBLE BAPTIST CHURCH, Chatham County, Georgia",7000000US1305103-10C,4357,306,1312,2408,218,90,23
272,"SOUTHSIDE BAPTIST CH, Chatham County, Georgia",7000000US1305103-11C,1949,75,442,1305,30,78,19
273,"THUNDERBOLT MUN COMP, Chatham County, Georgia",7000000US1305103-12C,3161,441,1775,644,183,99,19
274,"NEW COV 7 DAY ADV CH, Chatham County, Georgia",7000000US1305103-13C,2879,176,1462,1041,103,86,11
